SentenceId,Content
026632,玛莎拉蒂,neu
026632,凯美瑞,neu
026632,捷达,neu
026632,广本,neu
026632,东南DX7,neu
026632,宾利欧路GTC,neu
026632,别克,neu
026632,奔驰SLK350,neu
026632,奔驰,neu
026632,保时捷卡宴turboS,neu
026632,保时捷911,neu
026632,阿斯顿马丁DBS6.0,neu
026630,a4L,pos
026630,a3,pos
026626,明锐,pos
026616,凌渡,neu
026588,丰田,neu
026566,长安,neu
026560,英朗,neu
026560,威朗,neu
026560,凯越,neu
026556,途观,pos
026556,博越,pos
026514,明锐,pos
026455,卡罗拉,neu
026428,东风日产天籁,neg
026408,凌渡,neu
026395,东风雪铁龙,neu
026393,大众,pos
026357,速派,pos
026347,东风日产,neg
026315,Polo,pos
026264,福特锐界,pos
026261,朗逸,neu
026261,C4世嘉,neu
026228,polo,neu
026211,长安福特福睿斯,pos
026185,途安L,pos
026155,荣威RX5,neu
026114,昕锐,neu
026070,昕锐,neu
026057,途观,pos
026057,jeep,neu
026057,福特,neu
026057,斯巴鲁,neu
026057,自由光,neu
026057,翼虎,neu
026057,X1,neg
026057,森林人,neu
026036,斯巴鲁森林人,neg
026033,宝马,neg
026011,上汽大众斯柯达,pos
026011,速派,pos
026009,纳智捷,pos
025925,东风本田,neu
025902,斯柯达昕动,pos
025881,昕动,pos
025840,沃尔沃,pos
025820,Prado,pos
025800,一汽-大众,neu
025800,上汽大众,neu
025755,大众途安,neu
025707,上海大众帕萨特,neu
025703,雨燕,pos
025703,千里马,pos
025703,飞度,pos
025669,斯柯达,pos
025667,凌渡,pos
025652,索纳塔,neu
025652,北京现代,neu
025640,大众捷达,neu
025633,众泰云100,neg
025596,明锐,pos
025552,速派,pos
025527,比速T3,neu
025527,北汽幻速,neu
025524,途观,pos
025524,上汽大众,pos
025489,一汽奥迪,neu
025463,雷凌,neu
025463,卡罗拉,neu
025450,蔚揽,pos
025450,高尔夫七,neu
025448,凌渡,pos
025429,东风标致308S,neu
025429,508,neu
025410,北汽幻速H3F,neu
025366,速派,pos
025363,POLO,neu
025315,华晨中华,neu
025273,高尔夫7,pos
025206,陆风,neu
025206,极光,neu
025129,途安,pos
025121,本田,pos
025114,GX7,pos
025110,雅阁,pos
025110,速派,pos
025099,众泰,neu
025081,现代,neu
025081,Genesis G70,neu
025050,宝马,neu
024993,朗逸,neu
024938,上海通用,neu
024938,赛欧,neu
024938,别克,neu
024938,GL8,neu
024932,东风雪铁龙,neu
024875,速派,pos
024797,英菲尼迪,neu
024797,讴歌,neu
024797,雷克萨斯,neu
024797,本田,neu
024794,福莱尔,pos
024785,途观,neu
024757,速腾GLI,neu
024729,丰田塞纳,neu
024703,斯巴鲁,neu
024696,翼虎,pos
024696,途观,neg
024696,马自达CX-5,pos
024685,途观,pos
024685,福特翼虎,neg
024664,凌渡GTS,pos
024652,辉昂,pos
024652,奥迪A6L,neu
024604,别克,pos
024573,凌渡GTS,pos
024565,沃尔沃,neg
024565,XC90,neg
024559,东风标致301,neu
024539,五菱宏光,pos
024539,朗逸,pos
024539,哈弗H6,pos
024513,帕萨特,neu
024463,途观,neg
024458,哈弗,neu
024417,猎豹CS10,neu
024417,哈弗H6,neu
024380,C50,pos
024379,Mazda3昂克赛拉,pos
024358,夏利,neg
024343,保时捷卡宴,neg
024331,东风标致2008,neu
024327,速派,neu
024327,C5,neu
024302,大众,pos
024301,嘉年华,neu
024301,飞度,pos
024301,POLO,neu
024298,朗逸,pos
024294,奥迪,pos
024256,朗逸,pos
024245,林肯,neu
024245,MKZ,neu
024224,帕萨特,neu
024165,斯柯达,pos
024148,H3,pos
024131,凌渡,pos
024110,东风标致,neu
024095,江铃皮卡,pos
024091,Polo GTI,neu
024081,雪佛兰沃蓝达,neu
024081,日产Leaf,neu
024081,丰田普锐斯,neu
024069,野马,neu
024042,长安,neg
024042,逸动,neg
024024,本田,pos
024022,奇瑞,pos
023979,索纳塔,neu
023979,北京现代,neu
023979,MISTRA名图,neu
023923,凯迪拉克,neu
023880,速派,pos
023859,长安马自达,pos
023859,长安福特,pos
023859,长安,pos
023851,昕动,neu
023809,福特福克斯,neg
023809,福克斯,neg
023809,CROSSPOLO,pos
023779,拉达,neu
023772,卡罗拉,pos
023758,路虎,neg
023735,长马,neu
023675,辉昂,pos
023675,大众,pos
023672,雷诺,pos
023672,科雷嘉,pos
023672,卡宾,pos
023646,广汽传祺,pos
023646,GS8,pos
023646,GS4,pos
023622,奔驰,neu
023622,奥迪,neu
023602,帕萨特,pos
023602,迈腾,pos
023602,凯美瑞,pos
023598,吉利,neu
023598,奥迪A8,neu
023574,凯越,neg
023574,别克,pos
023561,上海大众斯柯达昊锐,neg
023552,昕动,neg
023545,凌渡,pos
023534,大众,neg
023530,丰田卡罗拉,neu
023508,大众,pos
023508,斯柯达,pos
023508,途观,pos
023476,飞度,pos
023361,广汽丰田,neu
023360,标致,neg
023304,朗逸,neu
023301,雷傲,neg
023286,一汽-大众,pos
023286,高尔夫,pos
023271,吉利,pos
023271,帝豪GL,pos
023234,帝豪,pos
023234,艾瑞泽7,pos
023183,长安铃木启悦,neg
023145,欧诺,neu
023145,风光,neu
023145,五菱,neg
023143,马自达阿特兹,neu
023125,速派,pos
023101,北京现代瑞纳,neg
023098,斯柯达Kodiaq,neu
023046,长安cs75,neu
023046,众泰大迈X5,pos
023032,迈锐宝XL,neu
023032,君越,neu
023030,江淮,neu
023026,PoloGTI,pos
022971,途观,neu
022971,Q5,neu
022957,广汽传祺,neu
022957,GS8,neu
022954,斯柯达,pos
022936,速派,pos
022917,大众,neu
022917,Polo,neu
022899,Polo,neu
022891,长安,neu
022891,上汽通用五菱,neu
022891,上汽通用,neu
022891,大众,neu
022852,一汽大众,neu
022852,迈腾,neu
022851,丰田,neu
022827,途观,pos
022803,保时捷卡宴,pos
022800,途观,pos
022777,昕动,pos
022736,东风雪铁龙,neg
022726,吉利帝豪EC7,neu
022723,斯柯达,pos
022680,大众朗逸,neu
022635,一汽-大众奥迪,neu
022635,A6L,neu
022634,雪佛兰,neu
022634,通用,neu
022629,迈锐宝XL,neu
022629,君越,neu
022629,CT6,neu
022613,神龙富康,neu
022613,普桑,neu
022613,大众朗逸,neu
022613,C4世嘉,neu
022607,上汽大众,pos
022587,帕萨特,neu
022576,雷克萨斯,neu
022573,昕动,pos
022565,辉昂,pos
022565,大众,neu
022495,PSA,pos
022495,C2,pos
022445,奥迪,neu
022425,IS,pos
022425,ES,neu
022424,桑塔纳,neu
022424,奔弛,neu
022404,大众,neu
022382,福特,neu
022382,福克斯,pos
022382,POLO,pos
022379,奥迪A5,neu
022379,Tiguan,neu
022346,途安L,pos
022334,宝马,neg
022221,上汽大众,neu
022214,大众,pos
022214,Polo,pos
022120,速腾,pos
022120,明锐,pos
022120,朗逸,pos
022113,奥迪,neu
022111,红旗,neu
022095,高尔夫Sportsvan,neu
022077,斯柯达,pos
022069,雪铁龙,neg
022020,轩逸,neu
022020,思域,neu
021933,福克斯,pos
021920,思域,neu
021905,途观,neu
021887,速派,pos
021887,斯柯达,pos
021882,奥迪,neg
021861,特斯拉,neu
021835,福瑞迪,pos
021818,CrossPolo,pos
021812,MINI,neg
021741,V2,pos
021739,博越,pos
021707,途观,neu
021696,途安L,neu
021669,丰田,neu
021669,皇冠,pos
021598,速派,pos
021525,领动,pos
021525,索纳塔,pos
021525,北京现代,pos
021515,斯柯达明锐,pos
021475,速派,neu
021451,朗逸,pos
021436,凌渡,pos
021412,大众辉昂,pos
021383,上汽通用别克,neu
021383,凯越,neu
021368,起亚K5,neu
021368,起亚,neu
021368,K5,neu
021341,本田哥瑞,neg
021311,沃尔沃,neu
021311,宝马,neu
021305,凌渡,pos
021229,夏利,neu
021229,桑塔纳,neu
021206,大众,neg
021206,途观,neg
021170,桑塔纳,neu
021166,途观,pos
021097,凌渡,pos
021087,长安,neu
021087,长安CX70,neu
021087,长安,neu
021087,欧尚,neu
021087,欧诺,neu
021087,欧力威,neu
021087,cx20,neu
021054,宝马i3,neu
021027,夏朗,pos
021020,帕萨特,pos
021020,奥迪A6L,pos
020997,锐界,neu
020997,汉兰达,neu
020997,TERAMONT,neg
020993,上汽大众凌渡,neu
020962,辉昂,neu
020947,途观,pos
020933,一汽大众,neu
020933,上海大众,neu
020886,奥迪,neu
020846,途安L,pos
020802,途观,neg
020793,途观,pos
020793,斯巴鲁,neu
020793,森林人,neu
020793,傲虎,neu
020793,Q3,neu
020782,Q5,pos
020758,斯柯达,neu
020710,Polo GTI,pos
020709,丰田C-HR,neu
020709,一汽丰田,neu
020679,奥迪,neg
020667,明锐,neu
020666,克莱斯勒300C,pos
020666,宝马,pos
020666,奥迪Q5,pos
020666,奥迪A8L,pos
020653,保时捷,neu
020594,斯巴鲁,neu
020579,Polo GTI,neu
020525,BMW,neu
020525,1系,pos
020498,雷克萨斯,neu
020470,东风雪铁龙,neg
020466,大众POLO,neu
020434,奥迪,neu
020383,比亚迪秦,pos
020382,宝马,pos
020382,BMW i,pos
020372,奔驰,neu
020372,宝马,neu
020372,GLS,neu
020372,GLE,neu
020372,GLC,neu
020372,GLA,neu
020372,E级,neu
020372,C级,neu
020372,CLA,neu
020344,大众,pos
020344,速腾,neu
020298,凌渡,pos
020254,帕萨特,pos
020230,途观,pos
020214,福克斯,pos
020192,桑塔纳,pos
020189,宝马,pos
020189,奥迪,pos
020183,大众朗逸,neu
020167,途观,pos
020161,东风雪铁龙C4世嘉,neu
020151,福特,neu
020105,上海大众,neu
020105,朗逸,pos
020087,桑塔纳,neu
020087,奔驰,neu
020087,宝马,neu
020080,大众途观,pos
020071,起亚,neu
020071,智跑,neg
020062,帕萨特,pos
020062,迈腾,pos
020051,Polo,pos
019991,帕萨特,neu
019991,辉腾,neg
019991,大众,neu
019986,广汽传祺,neu
019986,GS8,neu
019985,一汽奥迪q3,neg
019983,Yeti,pos
019959,明锐,pos
019959,大众,pos
019955,君越,neu
019947,奥迪,neu
019947,大众,pos
019918,科鲁兹,pos
019878,宝马,neu
019869,夏利,neu
019867,别克,neu
019867,凯越,neu
019864,大众,neg
019853,途安L,neg
019852,昕锐,pos
019829,途安,pos
019749,绅宝d50,neg
019745,奔驰,pos
019745,宝马,neu
019739,速腾,neu
019703,一汽马自达,neu
019653,途安,pos
019589,Yeti,pos
019564,大众途安,neg
019549,途观,pos
019521,POLO,neu
019521,飞度,neu
019493,长安,neu
019439,大众,neg
019378,别克·凯越,neu
019365,长安,neu
019365,悦翔V3,neu
019360,东南希旺,neg
019354,马自达,pos
019354,一汽马自达,pos
019354,CX-4,neu
019354,阿特兹,neu
019303,朗逸,neg
019294,铃木北斗星,neg
019283,Yeti,pos
019254,奥迪,pos
019203,昕动,pos
019166,朗逸,neg
019158,别克,neu
019043,上汽大众,neu
019043,朗境,neu
018905,奔驰,pos
018905,奥迪,pos
018904,英朗,neu
018904,别克,neu
018893,速派,pos
018816,宝马,neu
018816,740e,pos
018816,330e,neu
018816,225xe,neu
018759,普桑,neg
018724,上汽大众,pos
018722,卡罗拉,pos
018665,桑塔纳,neu
018665,朗逸,neg
018665,捷达,neu
018665,大众,neu
018665,宝来,neu
018638,别克,neg
018611,昕动,pos
018502,Polo,neu
018487,福特,neu
018484,辉昂,pos
018482,T70,neu
018476,朗逸,pos
018453,宝马,neg
018417,斯柯达Yeti,pos
018413,大众凌渡,neu
018383,陆风x7,neu
018383,铃木维,neu
018383,哈弗h8,neu
018383,jeep自由光,neu
018382,秀尔,pos
018381,起亚K2,neu
018355,众泰,neu
018355,英菲尼迪,neu
018355,玛莎拉蒂,neu
018355,雷克萨斯,neu
018355,凯迪拉克,neu
018355,吉利,neu
018337,夏利,neu
018337,法拉利,neu
018337,宾利,neu
018326,朗逸,pos
018325,斯柯达Yeti,pos
018320,凌渡,pos
018305,迈腾,pos
018297,凌渡,pos
018290,昕锐,pos
018277,长安CS75,neu
018210,凌度,pos
018200,宝马,neu
018174,大众,neu
018174,奥迪A6,neu
018136,帕萨特,neg
018079,凌渡,neu
018030,上汽大众,neu
017973,Yeti,pos
017968,大众,pos
017968,途观,neu
017968,迈腾,neu
017960,雷凌,neg
017960,卡罗拉,neg
017837,凌渡GTS,pos
017798,速派,neu
017798,迈腾,neu
017735,途观,neu
017714,宝马,neu
017675,长安,neu
017597,大众,neu
017597,朗逸,neu
017560,玛莎拉蒂,neu
017543,大众,neg
017529,速腾,neu
017499,威朗,neu
017499,思域,neu
017471,奇瑞捷豹路虎,neu
017471,捷豹XFl,neu
017471,奔驰,neg
017457,别克,pos
017442,凌渡GTS,pos
017407,奥迪Q7,neu
017407,奥迪Q5,neu
017407,奥迪Q3,neu
017407,奥迪A8,neu
017407,奥迪A6L,neu
017407,奥迪A4L,neu
017407,奥迪A3,neu
017407,奥迪,neu
017382,ATS,pos
017302,雷克萨斯,neu
017302,LX 570,neu
017211,君越,pos
017209,途安L,neu
017148,翼虎,neg
017148,昂科威,neg
017148,X1,neg
017148,Q3,neg
017148,GLA,neg
017148,DS6,neg
017148,3008,neg
017145,桑塔纳,neg
017122,朗逸,pos
017122,丰田卡罗拉,neu
017122,大众高尔夫,neu
017112,大众,neu
017035,江淮,neu
017012,途观,pos
016993,大众,neg
016964,奔驰,neg
016964,奥迪,neg
016964,昂科威,neg
016950,辉昂,neu
016937,Cross Polo,neu
016928,途观,pos
016925,日产东风风度MX6,neg
016906,长城,pos
016902,福特福克斯,neu
016901,帝豪ec8,neg
016859,MGRover,neu
016859,上汽,neu
016847,宝马M2,neu
016846,雅阁,pos
016846,帕萨特,neu
016841,翼虎,neu
016841,途观,neu
016841,昂科威,neu
016840,现代,neg
016810,途安Ｌ,pos
016803,高尔夫,neu
016803,POLO,pos
016791,东风标致3008,pos
016777,途观,pos
016766,明锐,neu
016686,雪佛兰科帕奇,neg
016682,途安,pos
016656,翼虎,neu
016656,途观,neu
016656,奇骏,neu
016656,国产自由光,neu
016656,昂科威,neu
016656,CR-V,neu
016644,中华H530,neu
016644,欧蓝德,neu
016644,凯越,neu
016644,君越,neu
016644,宝骏630,neu
016629,十代思域,pos
016629,本田,neu
016621,福克斯,pos
016600,途观,pos
016600,上汽大众,pos
016600,RAV4 荣放,neu
016590,凯越,pos
016552,大众朗逸,pos
016514,速派,pos
016507,英朗,neu
016507,朗逸,neu
016507,科鲁兹,neu
016507,卡罗拉,neu
016507,福睿斯,neu
016499,波尔舍,neu
016499,保时捷,neu
016489,斯柯达,neu
016489,明锐,neu
016442,凌渡,pos
016411,GTI,pos
016411,307,neu
016407,斯柯达,pos
016405,昕锐,neu
016386,凯越,pos
016377,凌渡,neu
016377,Jetta,neu
016368,昕动,neu
016272,科鲁兹,neu
016263,迈腾,pos
016151,大众凌渡GTI,neu
016150,智跑,neu
016150,起亚,neu
016145,北斗星,neu
016144,斯柯达昕动,neu
016134,飞度,pos
016068,卡罗拉,pos
016027,东风雪铁龙,neg
016018,启辰晨风,pos
015905,东风日产轩逸,neg
015858,Buick凯越,neu
015836,凌渡 GTS,pos
015825,斯柯达,neg
015740,众泰T600,neu
015699,POLO,pos
015699,大众,pos
015666,胜达,neg
015666,北京现代,neg
015660,东风风行,neg
015632,众泰Z700,pos
015632,保时捷,neu
015631,宝来,neu
015625,众泰,neu
015617,奥拓,neu
015617,qq,neu
015597,朗行,pos
015596,桑塔纳2000,neu
015596,高尔夫,neu
015596,大众高尔,neu
015585,途观,pos
015552,途安,neu
015548,保时捷Cayman GT4,neu
015548,保时捷911 Turbo,neu
015533,奔驰E,pos
015523,上汽大众辉昂,neu
015462,广汽传祺,neu
015446,小理,pos
015405,上汽大众,neu
015405,途观,neu
015389,福特翼虎,neu
015389,S350,neu
015375,东风本田,neu
015375,XR-V,neu
015358,速派,pos
015358,斯柯达,pos
015344,明锐,pos
015328,大众,neu
015290,凯越,pos
015284,凌渡,pos
015251,玛莎拉蒂,neg
015248,东风标致,neu
015214,速派,pos
015214,昊锐,neu
015209,胜达,neg
015195,马自达,pos
015183,科鲁兹,neu
015146,Polo GTI,pos
015123,玛莎拉蒂GT,pos
015112,MGGS,neu
015089,途观,pos
015088,途安L,pos
015072,途安,pos
015050,大众,pos
015050,迈腾,pos
015032,郑州日产俊风,neg
015026,别克昂科拉,neu
015024,长安马自达,neu
015018,凌渡,pos
015014,大众POLO,neu
014998,斯柯达明锐,pos
014985,保时捷panamera4S,neg
014957,长安杰勋,neg
014950,菲亚特,neg
014937,长安cs35,neg
014890,逍客,neu
014890,启辰,pos
014856,Polo,pos
014845,众泰,neu
014845,双环 SCEO,neu
014845,力帆 320,neu
014845,宝马 X5,neu
014841,广汽传祺,neu
014818,雅阁,pos
014818,雪铁龙C4L,neg
014818,凌派,neu
014811,本田锋范,neu
014809,凯越,neg
014788,斯柯达昕动,pos
014762,途观,pos
014726,朗境,pos
014680,途观,pos
014677,玛莎拉蒂,pos
014666,速派,pos
014665,自由光,neu
014665,别克,neu
014665,昂科威,neu
014665,Jeep,neg
014659,东南,neg
014650,别克,neu
014650,凯越,neu
014580,长城C30,neu
014576,本田杰德,neu
014575,天津一汽威志V2,neg
014571,铃木,neg
014533,斯柯达速派,pos
014518,XR-V,pos
014515,众泰大迈,neu
014515,大迈X5,neu
014479,朗逸,pos
014444,桑塔纳,neg
014440,奔驰E400,neu
014440,宝马535,neu
014357,长安,neu
014357,上汽,neu
014357,江淮,neu
014357,比亚迪,neu
014357,北汽,neu
014314,长安CS75,neu
014314,长安CS35,neu
014276,速腾,neu
014265,汉兰达,neu
014265,广汽丰田,neu
014261,朗逸,neu
014231,途观,neu
014231,帕萨特,neu
014231,卡罗拉,neu
014231,哈弗H6,neu
014219,宝骏310,pos
014173,Polo GTI,pos
014131,大众凌渡,pos
014072,别克,pos
014068,斯柯达,pos
014064,途观,neu
014052,途观,pos
014039,凯越,neu
014019,英朗,neu
014019,威朗,neu
014019,凯越,neu
014018,东风雪铁龙C3-XR,neu
014004,长安CS75,neu
014004,英朗,neu
014004,名图,neu
014004,领动,neu
014004,朗逸,neu
014004,朗动,neu
013997,上汽大众,neu
013997,辉腾,neu
013997,奥迪A6L,neu
013993,宝马,neg
013976,现代飞思,neg
013947,本田,pos
013915,长安福特,pos
013829,昕动,pos
013798,速腾,neu
013791,吉利帝豪EC7,neu
013761,天津一汽夏利,neg
013712,Cross Polo,neu
013692,rav4,neu
013676,长安马自达,neu
013663,smart,pos
013661,奔驰,pos
013661,奥迪Q5,neu
013661,奥迪A6,neu
013661,奥迪,neu
013661,glk,pos
013650,上汽通用,neu
013650,君越30H,neu
013650,别克,neu
013630,东风标致,neu
013623,桑塔纳,neu
013615,甲壳虫,pos
013612,凯迪拉克PHEV,neu
013594,东风风度MX5,pos
013548,途安,pos
013547,斯柯达,neu
013547,速派,pos
013501,明锐,neg
013457,斯柯达,neu
013441,途观,neg
013434,上汽大众,neu
013434,途观,pos
013434,Tiguan,neu
013432,凯越,neu
013432,别克,neu
013429,Tiguan,neu
013412,东风日产,neg
013381,昕锐,neu
013381,爱丽舍,neu
013363,菲亚特,neu
013344,颐达,neu
013320,途观,neu
013306,途观,pos
013306,上汽大众,neu
013190,致尚XT,neu
013190,悦翔V3,neu
013190,逸动,neu
013190,奔奔,neu
013190,长安CS35,neu
013169,丰田,neu
013099,glk,neu
013043,奔驰,neu
013043,奥迪,neu
013037,轩逸,pos
013037,思域,neu
013037,福睿斯,pos
013033,朗逸,neu
013033,308,pos
012995,大众,neu
012973,本田思铂睿,neu
012973,本田,neu
012940,奥迪A4,neu
012940,奥迪80,neu
012924,众泰,neu
012909,途观,pos
012830,轩逸,pos
012819,途安L,pos
012784,途安L,pos
012775,东风雪铁龙世嘉,neg
012707,S5,pos
012685,晶锐,neg
012685,上海大众斯柯达,neg
012659,雷凌双擎,neu
012653,迈凯轮,pos
012642,英菲尼迪,neu
012641,途观,pos
012622,凌渡,neu
012604,Yeti,pos
012590,QQ,neu
012590,宝马,neu
012590,X5,pos
012571,悦动,neu
012562,斯柯达明锐,neu
012535,昕锐,pos
012535,斯柯达,pos
012534,劲畅,pos
012505,途安L,neu
012485,威朗轿跑,neu
012485,通用,neu
012440,英菲尼迪,pos
012438,速派,neu
012434,桑塔纳,neu
012403,明锐,pos
012400,本田,neu
012368,奥迪,neu
012325,帕萨特,neu
012325,辉腾,neu
012325,大众,neu
012258,东风标致408,neg
012222,雪佛兰创酷,neg
012200,斯柯达,neu
012200,明锐,neu
012200,高尔夫,neu
012200,大众,neu
012200,奥迪,neu
012198,吉利,neg
012127,比亚迪,neu
012075,秀尔,neu
012069,昕动,pos
012069,斯柯达,neu
012052,路虎,pos
012024,速派,pos
012017,本田,neg
012017,rav4,neu
011978,蓝瑟,neg
011953,凌渡GTS,pos
011950,西雅特,neu
011942,途观,neu
011919,速派,pos
011919,蒙迪欧,neu
011898,大众辉昂,neu
011879,上汽大众,neu
011879,PHIDEON辉昂,pos
011864,雅力士,neu
011843,速派,pos
011824,上汽大众凌渡,pos
011815,朗动,pos
011771,i30N,neu
011768,速派,pos
011749,晶锐,pos
011740,斯柯达速派,neu
011706,桑塔纳Cross,pos
011706,大众桑塔纳,pos
011642,朗动,pos
011622,大众,pos
011606,三菱帕杰罗,neu
011606,普拉多,neu
011606,牧马人,neu
011606,丰田RAV4,neu
011606,丰田,neu
011551,速派,neu
011511,帕萨特,neu
011511,朗逸,neu
011495,凯迪拉克,neu
011493,IS,pos
011468,速派,pos
011443,大众,neu
011441,途观,neu
011441,宝马,neu
011436,Yeti,pos
011414,明锐,pos
011386,途观,pos
011376,轩逸,neu
011376,思域,neu
011349,华泰,pos
011331,途观,neg
011322,途安,pos
011296,途安L,pos
011233,夏利,neu
011188,一汽-大众,neu
011170,飞度,pos
011132,凌渡,neu
011096,明锐,pos
011070,凌渡,neu
010993,途观,pos
010981,明锐,pos
010953,速派,pos
010953,斯柯达,neu
010945,大众凌渡,neu
010930,途观,pos
010930,高尔夫,pos
010917,东风雪铁龙世嘉,neg
010915,途观,pos
010883,凌渡GTS,pos
010829,宝马,neg
010826,途安Ｌ,neu
010821,凌渡,neu
010818,奇瑞风云2,neu
010753,速派,pos
010742,北京,neg
010735,保时捷,neu
010699,悦达起亚,neu
010699,力帆,neu
010696,斯柯达,pos
010685,凌渡GTS,pos
010649,君威,pos
010637,途安L,neu
010619,英朗,neu
010619,上汽通用别克,neu
010600,福特,neu
010600,宝马321,neu
010560,起亚福瑞迪,neg
010559,昕动,pos
010547,宝马2系,neu
010547,途安L,pos
010537,途观,pos
010531,斯柯达,pos
010452,大众,neu
010434,途观,neu
010423,途安L,neg
010376,大众,neu
010370,速派,pos
010362,奥迪,neu
010360,凯越,pos
010360,别克,neu
010329,大众,neu
010329,奥迪A5,neu
010329,Tiguan,neu
010321,福特,pos
010321,奥迪,pos
010222,朗逸,neu
010210,昕动,pos
010202,科鲁兹,neg
010145,凌渡,pos
010114,凯美瑞,neg
010093,别克凯越,pos
010021,伊兰特,neu
010021,桑塔纳,neu
010021,捷达,neu
010004,凯越,neu
009987,途观,pos
009984,桑塔纳,neu
009974,途观,pos
009971,昕动,pos
009971,丰田致炫,neu
009967,途观,pos
009946,红旗CA770,pos
009855,大众,pos
009855,凌渡,pos
009847,北京现代索纳塔,neg
009755,朗逸,pos
009741,英朗,neu
009741,别克,pos
009675,本田,pos
009556,大众,neu
009556,PHIDEON辉昂,neu
009535,高尔夫,neu
009534,宝骏310,neu
009482,大众,neu
009427,GOLF R,neu
009371,MG锐腾上汽集团,neg
009353,雪铁龙,neu
009353,C4L,neu
009348,帕萨特,neg
009326,Polo,neu
009254,奔驰c200L,pos
009215,is250,neu
009215,ES300H,pos
009159,大众朗逸,neu
009142,长安福特福克斯,neg
009079,凯越,neu
009074,大众高尔夫7,neu
009070,别克凯越,neu
009061,桑塔纳,neu
008963,途锐,neu
008963,陆巡,pos
008963,X6,neu
008963,X5,neu
008963,Q7,neu
008938,迈腾,neg
008929,大众帕萨特,pos
008874,大众,pos
008874,Tiguan,pos
008873,大众途观,neg
008786,奥迪,neu
008770,标致,neu
008769,宝马,neu
008750,奥迪,neu
008750,别克,pos
008677,凯越,neu
008658,福特,neu
008630,Q3,neu
008630,508,neu
008621,东风标致408,neg
008590,i3,pos
008585,大众,pos
008545,日野,neu
008545,雷克萨斯,neu
008545,丰田,neu
008545,大发,neu
008514,斯柯达,pos
008514,明锐,pos
008506,大众,neu
008405,Polo,pos
008389,帕萨特,pos
008367,DS,neg
008365,思域,neu
008365,昂克赛拉,pos
008348,CrossPolo,pos
008335,东风风神A6O,neg
008259,一汽-大众,neu
008253,路虎,neu
008226,途观,neu
008199,梅赛德斯-奔驰GLC43 Coupe,neu
008199,宝马X4,neu
008185,东风悦达起亚,neg
008177,雪佛兰,neg
008157,斯柯达,pos
008157,晶锐,pos
008156,北京现代悦动,neg
008150,马自达3,neu
008150,昂克赛拉,neu
008147,308,pos
008103,途胜,neg
008103,名图,neg
008103,领动,neg
008103,朗动,neg
008099,东风标致,neu
008099,5008,neu
008099,4008,neu
008091,纳智捷优6,pos
008085,哈弗H6,pos
008057,上汽大众,pos
008042,现代捷恩斯,neu
008026,奔驰,pos
008013,Tiguan Sport,neu
